PERC_TARGET,PERC_STOPLOSS,HIT_RATE,PASS_PROBABILITY,QTY_TRADES_SUCC,QTY_TRADES_FAIL
0.100, 1.000, 5.000, 0.000, 0, 106
0.100, 1.000, 10.000, 0.000, 0, 113
0.100, 1.000, 15.000, 0.000, 0, 121
0.100, 1.000, 20.000, 0.000, 0, 129
0.100, 1.000, 25.000, 0.000, 0, 139
0.100, 1.000, 30.000, 0.000, 0, 150
0.100, 1.000, 35.000, 0.000, 0, 163
0.100, 1.000, 40.000, 0.000, 0, 179
0.100, 1.000, 45.000, 0.000, 0, 199
0.100, 1.000, 50.000, 0.000, 0, 224
0.100, 1.000, 55.000, 0.000, 0, 255
0.100, 1.000, 60.000, 0.000, 0, 296
0.100, 1.000, 65.000, 0.000, 0, 354
0.100, 1.000, 70.000, 0.000, 0, 436
0.100, 1.000, 75.000, 0.000, 0, 569
0.100, 1.000, 80.000, 0.000, 0, 837
0.100, 1.000, 85.000, 0.000, 0, 1535
0.100, 1.000, 90.000, 0.000, 0, 9547
0.100, 1.000, 95.000, 100.000, 2670, 0
0.150, 1.000, 5.000, 0.000, 0, 107
0.150, 1.000, 10.000, 0.000, 0, 114
0.150, 1.000, 15.000, 0.000, 0, 122
0.150, 1.000, 20.000, 0.000, 0, 131
0.150, 1.000, 25.000, 0.000, 0, 141
0.150, 1.000, 30.000, 0.000, 0, 153
0.150, 1.000, 35.000, 0.000, 0, 168
0.150, 1.000, 40.000, 0.000, 0, 186
0.150, 1.000, 45.000, 0.000, 0, 208
0.150, 1.000, 50.000, 0.000, 0, 236
0.150, 1.000, 55.000, 0.000, 0, 274
0.150, 1.000, 60.000, 0.000, 0, 321
0.150, 1.000, 65.000, 0.000, 0, 396
0.150, 1.000, 70.000, 0.000, 0, 514
0.150, 1.000, 75.000, 0.000, 0, 724
0.150, 1.000, 80.000, 0.000, 0, 1241
0.150, 1.000, 85.000, 0.000, 0, 4254
0.150, 1.000, 90.000, 100.000, 3441, 0
0.150, 1.000, 95.000, 100.000, 1299, 0
0.200, 1.000, 5.000, 0.000, 0, 107
0.200, 1.000, 10.000, 0.000, 0, 114
0.200, 1.000, 15.000, 0.000, 0, 122
0.200, 1.000, 20.000, 0.000, 0, 133
0.200, 1.000, 25.000, 0.000, 0, 143
0.200, 1.000, 30.000, 0.000, 0, 157
0.200, 1.000, 35.000, 0.000, 0, 173
0.200, 1.000, 40.000, 0.000, 0, 192
0.200, 1.000, 45.000, 0.000, 0, 219
0.200, 1.000, 50.000, 0.000, 0, 249
0.200, 1.000, 55.000, 0.000, 0, 294
0.200, 1.000, 60.000, 0.000, 0, 357
0.200, 1.000, 65.000, 0.000, 0, 458
0.200, 1.000, 70.000, 0.000, 0, 620
0.200, 1.000, 75.000, 0.000, 0, 988
0.200, 1.000, 80.000, 0.000, 0, 2444
0.200, 1.000, 85.000, 100.000, 5938, 0
0.200, 1.000, 90.000, 100.000, 1501, 0
0.200, 1.000, 95.000, 100.000, 856, 0
0.250, 1.000, 5.000, 0.000, 0, 107
0.250, 1.000, 10.000, 0.000, 0, 115
0.250, 1.000, 15.000, 0.000, 0, 123
0.250, 1.000, 20.000, 0.000, 0, 133
0.250, 1.000, 25.000, 0.000, 0, 145
0.250, 1.000, 30.000, 0.000, 0, 160
0.250, 1.000, 35.000, 0.000, 0, 179
0.250, 1.000, 40.000, 0.000, 0, 201
0.250, 1.000, 45.000, 0.000, 0, 229
0.250, 1.000, 50.000, 0.000, 0, 266
0.250, 1.000, 55.000, 0.000, 0, 322
0.250, 1.000, 60.000, 0.000, 0, 401
0.250, 1.000, 65.000, 0.000, 0, 533
0.250, 1.000, 70.000, 0.000, 0, 796
0.250, 1.000, 75.000, 0.000, 0, 1568
0.250, 1.000, 80.000, 32.200, 30937, 25996
0.250, 1.000, 85.000, 100.000, 1925, 0
0.250, 1.000, 90.000, 100.000, 954, 0
0.250, 1.000, 95.000, 100.000, 640, 0
0.300, 1.000, 5.000, 0.000, 0, 108
0.300, 1.000, 10.000, 0.000, 0, 115
0.300, 1.000, 15.000, 0.000, 0, 125
0.300, 1.000, 20.000, 0.000, 0, 136
0.300, 1.000, 25.000, 0.000, 0, 148
0.300, 1.000, 30.000, 0.000, 0, 165
0.300, 1.000, 35.000, 0.000, 0, 184
0.300, 1.000, 40.000, 0.000, 0, 207
0.300, 1.000, 45.000, 0.000, 0, 242
0.300, 1.000, 50.000, 0.000, 0, 286
0.300, 1.000, 55.000, 0.000, 0, 350
0.300, 1.000, 60.000, 0.000, 0, 454
0.300, 1.000, 65.000, 0.000, 0, 648
0.300, 1.000, 70.000, 0.000, 0, 1100
0.300, 1.000, 75.000, 0.000, 0, 3810
0.300, 1.000, 80.000, 100.000, 2979, 0
0.300, 1.000, 85.000, 100.000, 1144, 0
0.300, 1.000, 90.000, 100.000, 707, 0
0.300, 1.000, 95.000, 100.000, 510, 0
0.350, 1.000, 5.000, 0.000, 0, 108
0.350, 1.000, 10.000, 0.000, 0, 116
0.350, 1.000, 15.000, 0.000, 0, 126
0.350, 1.000, 20.000, 0.000, 0, 137
0.350, 1.000, 25.000, 0.000, 0, 151
0.350, 1.000, 30.000, 0.000, 0, 169
0.350, 1.000, 35.000, 0.000, 0, 189
0.350, 1.000, 40.000, 0.000, 0, 218
0.350, 1.000, 45.000, 0.000, 0, 255
0.350, 1.000, 50.000, 0.000, 0, 307
0.350, 1.000, 55.000, 0.000, 0, 389
0.350, 1.000, 60.000, 0.000, 0, 528
0.350, 1.000, 65.000, 0.000, 0, 804
0.350, 1.000, 70.000, 0.000, 0, 1777
0.350, 1.000, 75.000, 99.200, 9496, 8811
0.350, 1.000, 80.000, 100.000, 1499, 0
0.350, 1.000, 85.000, 100.000, 820, 0
0.350, 1.000, 90.000, 100.000, 561, 0
0.350, 1.000, 95.000, 100.000, 426, 0
0.400, 1.000, 5.000, 0.000, 0, 108
0.400, 1.000, 10.000, 0.000, 0, 117
0.400, 1.000, 15.000, 0.000, 0, 127
