PERC_TARGET,PERC_STOPLOSS,HIT_RATE,PASS_PROBABILITY,QTY_TRADES_SUCC,QTY_TRADES_FAIL
0.100, 1.000, 5.000, 0.000, 0, 106
0.100, 1.000, 10.000, 0.000, 0, 113
0.100, 1.000, 15.000, 0.000, 0, 120
0.100, 1.000, 20.000, 0.000, 0, 129
0.100, 1.000, 25.000, 0.000, 0, 138
0.100, 1.000, 30.000, 0.000, 0, 150
0.100, 1.000, 35.000, 0.000, 0, 163
0.100, 1.000, 40.000, 0.000, 0, 179
0.100, 1.000, 45.000, 0.000, 0, 200
0.100, 1.000, 50.000, 0.000, 0, 223
0.100, 1.000, 55.000, 0.000, 0, 254
0.100, 1.000, 60.000, 0.000, 0, 296
0.100, 1.000, 65.000, 0.000, 0, 352
0.100, 1.000, 70.000, 0.000, 0, 435
0.100, 1.000, 75.000, 0.000, 0, 574
0.100, 1.000, 80.000, 0.000, 0, 838
0.100, 1.000, 85.000, 0.000, 0, 1549
0.100, 1.000, 90.000, 0.000, 0, 10099
0.100, 1.000, 95.000, 100.000, 7134, 0
0.150, 1.000, 5.000, 0.000, 0, 107
0.150, 1.000, 10.000, 0.000, 0, 114
0.150, 1.000, 15.000, 0.000, 0, 122
0.150, 1.000, 20.000, 0.000, 0, 130
0.150, 1.000, 25.000, 0.000, 0, 141
0.150, 1.000, 30.000, 0.000, 0, 153
0.150, 1.000, 35.000, 0.000, 0, 168
0.150, 1.000, 40.000, 0.000, 0, 187
0.150, 1.000, 45.000, 0.000, 0, 208
0.150, 1.000, 50.000, 0.000, 0, 236
0.150, 1.000, 55.000, 0.000, 0, 274
0.150, 1.000, 60.000, 0.000, 0, 322
0.150, 1.000, 65.000, 0.000, 0, 397
0.150, 1.000, 70.000, 0.000, 0, 514
0.150, 1.000, 75.000, 0.000, 0, 734
0.150, 1.000, 80.000, 0.000, 0, 1263
0.150, 1.000, 85.000, 0.000, 0, 4492
0.150, 1.000, 90.000, 100.000, 9101, 0
0.150, 1.000, 95.000, 100.000, 3455, 0
0.200, 1.000, 5.000, 0.000, 0, 107
0.200, 1.000, 10.000, 0.000, 0, 114
0.200, 1.000, 15.000, 0.000, 0, 122
0.200, 1.000, 20.000, 0.000, 0, 132
0.200, 1.000, 25.000, 0.000, 0, 143
0.200, 1.000, 30.000, 0.000, 0, 157
0.200, 1.000, 35.000, 0.000, 0, 173
0.200, 1.000, 40.000, 0.000, 0, 193
0.200, 1.000, 45.000, 0.000, 0, 218
0.200, 1.000, 50.000, 0.000, 0, 252
0.200, 1.000, 55.000, 0.000, 0, 293
0.200, 1.000, 60.000, 0.000, 0, 357
0.200, 1.000, 65.000, 0.000, 0, 455
0.200, 1.000, 70.000, 0.000, 0, 630
0.200, 1.000, 75.000, 0.000, 0, 1008
0.200, 1.000, 80.000, 0.000, 0, 2510
0.200, 1.000, 85.000, 100.000, 15756, 0
0.200, 1.000, 90.000, 100.000, 4018, 0
0.200, 1.000, 95.000, 100.000, 2289, 0
0.250, 1.000, 5.000, 0.000, 0, 107
0.250, 1.000, 10.000, 0.000, 0, 115
0.250, 1.000, 15.000, 0.000, 0, 124
0.250, 1.000, 20.000, 0.000, 0, 134
0.250, 1.000, 25.000, 0.000, 0, 145
0.250, 1.000, 30.000, 0.000, 0, 160
0.250, 1.000, 35.000, 0.000, 0, 178
0.250, 1.000, 40.000, 0.000, 0, 200
0.250, 1.000, 45.000, 0.000, 0, 227
0.250, 1.000, 50.000, 0.000, 0, 266
0.250, 1.000, 55.000, 0.000, 0, 320
0.250, 1.000, 60.000, 0.000, 0, 401
0.250, 1.000, 65.000, 0.000, 0, 535
0.250, 1.000, 70.000, 0.000, 0, 799
0.250, 1.000, 75.000, 0.000, 0, 1604
0.250, 1.000, 80.000, 24.700, 206859, 94537
0.250, 1.000, 85.000, 100.000, 5129, 0
0.250, 1.000, 90.000, 100.000, 2557, 0
0.250, 1.000, 95.000, 100.000, 1706, 0
0.300, 1.000, 5.000, 0.000, 0, 107
0.300, 1.000, 10.000, 0.000, 0, 115
0.300, 1.000, 15.000, 0.000, 0, 125
0.300, 1.000, 20.000, 0.000, 0, 136
0.300, 1.000, 25.000, 0.000, 0, 149
0.300, 1.000, 30.000, 0.000, 0, 165
0.300, 1.000, 35.000, 0.000, 0, 184
0.300, 1.000, 40.000, 0.000, 0, 210
0.300, 1.000, 45.000, 0.000, 0, 243
0.300, 1.000, 50.000, 0.000, 0, 287
0.300, 1.000, 55.000, 0.000, 0, 352
0.300, 1.000, 60.000, 0.000, 0, 460
0.300, 1.000, 65.000, 0.000, 0, 651
0.300, 1.000, 70.000, 0.000, 0, 1116
0.300, 1.000, 75.000, 0.000, 0, 3979
0.300, 1.000, 80.000, 100.000, 8036, 0
0.300, 1.000, 85.000, 100.000, 3033, 0
0.300, 1.000, 90.000, 100.000, 1885, 0
0.300, 1.000, 95.000, 100.000, 1362, 0
0.350, 1.000, 5.000, 0.000, 0, 108
0.350, 1.000, 10.000, 0.000, 0, 116
0.350, 1.000, 15.000, 0.000, 0, 126
0.350, 1.000, 20.000, 0.000, 0, 138
0.350, 1.000, 25.000, 0.000, 0, 151
0.350, 1.000, 30.000, 0.000, 0, 169
0.350, 1.000, 35.000, 0.000, 0, 190
0.350, 1.000, 40.000, 0.000, 0, 218
0.350, 1.000, 45.000, 0.000, 0, 257
0.350, 1.000, 50.000, 0.000, 0, 309
0.350, 1.000, 55.000, 0.000, 0, 389
0.350, 1.000, 60.000, 0.000, 0, 532
0.350, 1.000, 65.000, 0.000, 0, 815
0.350, 1.000, 70.000, 0.000, 0, 1845
0.350, 1.000, 75.000, 99.800, 25612, 5198
0.350, 1.000, 80.000, 100.000, 3999, 0
0.350, 1.000, 85.000, 100.000, 2173, 0
0.350, 1.000, 90.000, 100.000, 1488, 0
0.350, 1.000, 95.000, 100.000, 1135, 0
0.400, 1.000, 5.000, 0.000, 0, 108
0.400, 1.000, 10.000, 0.000, 0, 117
