PERC_TARGET,PERC_STOPLOSS,HIT_RATE,PASS_PROBABILITY,QTY_TRADES_SUCC,QTY_TRADES_FAIL
0.100, 1.000, 5.000, 0.000, 0, 106
0.100, 1.000, 10.000, 0.000, 0, 113
0.100, 1.000, 15.000, 0.000, 0, 120
0.100, 1.000, 20.000, 0.000, 0, 129
0.100, 1.000, 25.000, 0.000, 0, 138
0.100, 1.000, 30.000, 0.000, 0, 150
0.100, 1.000, 35.000, 0.000, 0, 164
0.100, 1.000, 40.000, 0.000, 0, 179
0.100, 1.000, 45.000, 0.000, 0, 198
0.100, 1.000, 50.000, 0.000, 0, 223
0.100, 1.000, 55.000, 0.000, 0, 254
0.100, 1.000, 60.000, 0.000, 0, 296
0.100, 1.000, 65.000, 0.000, 0, 352
0.100, 1.000, 70.000, 0.000, 0, 437
0.100, 1.000, 75.000, 0.000, 0, 570
0.100, 1.000, 80.000, 0.000, 0, 831
0.100, 1.000, 85.000, 0.000, 0, 1524
0.100, 1.000, 90.000, 0.000, 0, 9538
0.100, 1.000, 95.000, 100.000, 2675, 0
0.150, 1.000, 5.000, 0.000, 0, 107
0.150, 1.000, 10.000, 0.000, 0, 114
0.150, 1.000, 15.000, 0.000, 0, 121
0.150, 1.000, 20.000, 0.000, 0, 131
0.150, 1.000, 25.000, 0.000, 0, 141
0.150, 1.000, 30.000, 0.000, 0, 154
0.150, 1.000, 35.000, 0.000, 0, 168
0.150, 1.000, 40.000, 0.000, 0, 185
0.150, 1.000, 45.000, 0.000, 0, 208
0.150, 1.000, 50.000, 0.000, 0, 236
0.150, 1.000, 55.000, 0.000, 0, 271
0.150, 1.000, 60.000, 0.000, 0, 324
0.150, 1.000, 65.000, 0.000, 0, 396
0.150, 1.000, 70.000, 0.000, 0, 516
0.150, 1.000, 75.000, 0.000, 0, 724
0.150, 1.000, 80.000, 0.000, 0, 1241
0.150, 1.000, 85.000, 0.000, 0, 4315
0.150, 1.000, 90.000, 100.000, 3443, 0
0.150, 1.000, 95.000, 100.000, 1301, 0
0.200, 1.000, 5.000, 0.000, 0, 107
0.200, 1.000, 10.000, 0.000, 0, 114
0.200, 1.000, 15.000, 0.000, 0, 123
0.200, 1.000, 20.000, 0.000, 0, 132
0.200, 1.000, 25.000, 0.000, 0, 143
0.200, 1.000, 30.000, 0.000, 0, 157
0.200, 1.000, 35.000, 0.000, 0, 173
0.200, 1.000, 40.000, 0.000, 0, 193
0.200, 1.000, 45.000, 0.000, 0, 217
0.200, 1.000, 50.000, 0.000, 0, 251
0.200, 1.000, 55.000, 0.000, 0, 295
0.200, 1.000, 60.000, 0.000, 0, 357
0.200, 1.000, 65.000, 0.000, 0, 455
0.200, 1.000, 70.000, 0.000, 0, 622
0.200, 1.000, 75.000, 0.000, 0, 991
0.200, 1.000, 80.000, 0.000, 0, 2480
0.200, 1.000, 85.000, 100.000, 5956, 0
0.200, 1.000, 90.000, 100.000, 1503, 0
0.200, 1.000, 95.000, 100.000, 855, 0
0.250, 1.000, 5.000, 0.000, 0, 107
0.250, 1.000, 10.000, 0.000, 0, 115
0.250, 1.000, 15.000, 0.000, 0, 124
0.250, 1.000, 20.000, 0.000, 0, 134
0.250, 1.000, 25.000, 0.000, 0, 146
0.250, 1.000, 30.000, 0.000, 0, 160
0.250, 1.000, 35.000, 0.000, 0, 178
0.250, 1.000, 40.000, 0.000, 0, 201
0.250, 1.000, 45.000, 0.000, 0, 228
0.250, 1.000, 50.000, 0.000, 0, 266
0.250, 1.000, 55.000, 0.000, 0, 317
0.250, 1.000, 60.000, 0.000, 0, 399
0.250, 1.000, 65.000, 0.000, 0, 532
0.250, 1.000, 70.000, 0.000, 0, 793
0.250, 1.000, 75.000, 0.000, 0, 1576
0.250, 1.000, 80.000, 28.900, 31657, 26020
0.250, 1.000, 85.000, 100.000, 1918, 0
0.250, 1.000, 90.000, 100.000, 956, 0
0.250, 1.000, 95.000, 100.000, 641, 0
0.300, 1.000, 5.000, 0.000, 0, 107
0.300, 1.000, 10.000, 0.000, 0, 115
0.300, 1.000, 15.000, 0.000, 0, 125
0.300, 1.000, 20.000, 0.000, 0, 136
0.300, 1.000, 25.000, 0.000, 0, 149
0.300, 1.000, 30.000, 0.000, 0, 164
0.300, 1.000, 35.000, 0.000, 0, 183
0.300, 1.000, 40.000, 0.000, 0, 209
0.300, 1.000, 45.000, 0.000, 0, 241
0.300, 1.000, 50.000, 0.000, 0, 286
0.300, 1.000, 55.000, 0.000, 0, 353
0.300, 1.000, 60.000, 0.000, 0, 454
0.300, 1.000, 65.000, 0.000, 0, 637
0.300, 1.000, 70.000, 0.000, 0, 1098
0.300, 1.000, 75.000, 0.000, 0, 3735
0.300, 1.000, 80.000, 100.000, 2987, 0
0.300, 1.000, 85.000, 100.000, 1148, 0
0.300, 1.000, 90.000, 100.000, 710, 0
0.300, 1.000, 95.000, 100.000, 511, 0
0.350, 1.000, 5.000, 0.000, 0, 108
0.350, 1.000, 10.000, 0.000, 0, 116
0.350, 1.000, 15.000, 0.000, 0, 126
0.350, 1.000, 20.000, 0.000, 0, 138
0.350, 1.000, 25.000, 0.000, 0, 152
0.350, 1.000, 30.000, 0.000, 0, 168
0.350, 1.000, 35.000, 0.000, 0, 190
0.350, 1.000, 40.000, 0.000, 0, 218
0.350, 1.000, 45.000, 0.000, 0, 255
0.350, 1.000, 50.000, 0.000, 0, 308
0.350, 1.000, 55.000, 0.000, 0, 388
0.350, 1.000, 60.000, 0.000, 0, 523
0.350, 1.000, 65.000, 0.000, 0, 813
0.350, 1.000, 70.000, 0.000, 0, 1758
0.350, 1.000, 75.000, 99.400, 9600, 9710
0.350, 1.000, 80.000, 100.000, 1500, 0
0.350, 1.000, 85.000, 100.000, 811, 0
0.350, 1.000, 90.000, 100.000, 559, 0
0.350, 1.000, 95.000, 100.000, 426, 0
0.400, 1.000, 5.000, 0.000, 0, 108
0.400, 1.000, 10.000, 0.000, 0, 116
0.400, 1.000, 15.000, 0.000, 0, 127
